release_date,judul,sinopsis,genre,kata_kunci,rate,tahun
2012-03-23,Serbuan Maut,"Jauh di jantung permukiman kumuh Jakarta terdapat sebuah rumah persembunyian yang tak tertembus bagi para pembunuh dan gangster paling berbahaya di dunia. Hingga kini, blok apartemen bobrok itu dianggap tak tersentuh bahkan oleh polisi yang paling berani sekalipun. Di bawah selubung kegelapan dan keheningan sebelum fajar, sebuah tim SWAT elit ditugaskan untuk menggerebek rumah persembunyian tersebut guna menangkap gembong narkoba terkenal yang menguasainya. Namun, ketika pertemuan tak sengaja dengan seorang pengintai membongkar penyamaran mereka dan berita tentang penyerangan mereka sampai ke gembong narkoba, lampu gedung dimatikan dan semua pintu keluar diblokir. Terjebak di lantai enam tanpa jalan keluar, unit tersebut harus berjuang melewati orang-orang terburuk di kota untuk menyelamatkan misi mereka. Dibintangi oleh sensasi bela diri Indonesia, Iko Uwais.","Action, Thriller, Crime","seni bela diri, bos kriminal, rumah susun, gedung tinggi, monitor, blok menara, Jakarta Indonesia, SWAT",7.6,2012
2014-03-27,The Raid 2: Berandal,"Setelah berjuang menembus gedung apartemen yang dipenuhi oleh sekelompok penjahat berbahaya dan lolos dengan selamat, anggota tim SWAT, Rama, menyamar dan bergabung dengan sindikat kejahatan Indonesia yang kuat untuk melindungi keluarganya dan mengungkap anggota korup di pasukannya sendiri.","Action, Crime, Thriller","penjara, polisi, penyamaran, perkelahian, gangster, kalah jumlah",7.9,2014
2012-11-01,Jagal,Para pembuat film mengungkap eksekusi massal mengerikan terhadap orang-orang yang dituduh komunis di Indonesia dan mereka yang justru dipuja di negara mereka karena melakukan kejahatan tersebut.,Documentary,"korupsi, Indonesia, genosida, genosida Indonesia, film dokumenter politik, film dokumenter sosial & budaya",8.2,2012
2018-10-05,The Night Comes for Us,"Setelah menyelamatkan nyawa seorang gadis selama pembantaian, seorang pembunuh bayaran elit Triad menjadi sasaran serangan bertubi-tubi dari para gangster yang haus darah.","Action, Thriller, Crime","pembunuh bayaran, kekerasan berdarah, mafia Tiongkok, unit elit, Indonesia, pembantaian, perkelahian, triad, pembunuh berdarah dingin, bengkel",6.9,2018
2016-09-24,Headshot,"Seorang pemuda terdampar di pantai, ingatannya hilang - tetapi masa lalunya kembali menghantuinya setelah ia dirawat hingga pulih dan kemampuan membunuhnya dibutuhkan ketika ia menghadapi seorang gembong narkoba yang berkuasa.","Action, Thriller, Crime",seni bela diri,6.3,2016
2019-08-29,Gundala,"Sancaka telah hidup di jalanan sejak orang tuanya meninggalkannya. Menjalani kehidupan yang keras, Sancaka bertahan hidup dengan memikirkan keselamatannya sendiri. Ketika kondisi kota memburuk dan ketidakadilan merajalela di seluruh negeri, Sancaka harus memutuskan apakah ia akan terus hidup untuk menjaga dirinya sendiri atau bangkit menjadi pahlawan bagi mereka yang tertindas.","Action, Fantasy","gundala, putra petir, bumi langit, jagat sinema bumilangit",6.1,2019
2021-10-08,Penyalin Cahaya,"Ketika foto-fotonya di sebuah pesta menyebabkan dia kehilangan beasiswa, seorang mahasiswa menyelidiki apakah sesuatu yang buruk telah terjadi padanya malam itu.","Drama, Mystery, Thriller",,6.8,2021
2017-09-28,Pengabdi Setan,"Setelah kematian ibu Rini, sesuatu mengganggu keluarganya.","Drama, Horror, Mystery","ibu, pemakaman, kuburan, kursi roda, radio, keluarga, piringan hitam, sumur, masalah keuangan, bahasa isyarat, orang tua yang tidak hadir, kehilangan ibu, saudara kandung",6.5,2017
2009-08-06,Merantau,"Di Minangkabau, Sumatera Barat, Yuda, seorang praktisi Silat Harimau yang terampil, sedang dalam persiapan akhir untuk memulai ""Merantau,"" sebuah ritual peralihan usia berusia seabad yang dilakukan oleh para pemuda di komunitasnya. Ritual ini akan membuatnya meninggalkan kenyamanan desa pertaniannya yang indah dan meraih kesuksesan di kota Jakarta yang ramai.","Action, Drama, Thriller","seni bela diri, perdagangan manusia, Indonesia, narkoba, pelindung, perjalanan, panggilan telepon, Jakarta, Sumatra",6.7,2009
2018-07-12,Sabrina,"Maira hidup bahagia bersama Aiden, seorang pembuat boneka dan pemilik perusahaan mainan. Namun Vanya, putri angkat mereka dan keponakan Aiden, masih berduka atas kehilangan ibu kandungnya. Setelah Vanya memainkan Charlie's Pencil untuk memanggil mendiang ibunya, hal-hal aneh mulai terjadi.","Horror, Thriller",,4.2,2018
2019-10-17,Perempuan Tanah Jahanam,"Seorang wanita mewarisi sebuah rumah di desa leluhurnya, tetapi dia tidak menyadari bahwa anggota komunitas telah berusaha untuk menemukan dan membunuhnya guna menghilangkan kutukan yang telah menghantui mereka selama bertahun-tahun.","Horror, Thriller, Mystery","kuburan, kehamilan, desa, ilmu hitam, darah, kultus, rumah terbengkalai, dalang, kutukan, pos tol, horor rakyat, lokasi terpencil, warisan",6.6,2019
2022-12-19,The Big 4,Seorang detektif wanita yang taat aturan bekerja sama dengan empat pembunuh bayaran yang sedang sial untuk menyelidiki pembunuhan ayahnya.,"Action, Comedy, Crime","pembunuh bayaran, Indonesia, komedi aksi, mantan pembunuh bayaran",6.1,2022
2018-08-09,Sebelum Iblis Menjemput,"Berharap menemukan jawaban atas penyakit misterius ayahnya yang terasing, seorang wanita muda mengunjungi vila lama ayahnya dan mengungkap kebenaran mengerikan dari masa lalu.","Horror, Thriller","rumah sakit, setan, sihir, boneka voodoo",5.9,2018
2012-09-27,Dead Mine,"Legenda Emas Yamashita memikat seorang pemburu harta karun dan kelompoknya jauh ke dalam hutan Indonesia. Setelah terjebak di dalam bunker Jepang peninggalan Perang Dunia II yang terbengkalai, mereka menghadapi kenyataan mengerikan bahwa satu-satunya jalan keluar adalah dengan masuk lebih dalam lagi.","Action, Horror","Tentara Jepang, pemburu harta karun, harta karun emas",4.5,2012
2017-11-23,Valentine,"Kota Batavia, kota indah yang tak lagi aman untuk dihuni. Perampokan, kekerasan, dan berbagai kejahatan yang semakin merajalela. Di tengah kota yang kacau ini, Srimaya, seorang pelayan kafe yang bermimpi menjadi aktris, tak pernah menyangka mimpi itu akan mengubah hidupnya. Pertemuannya dengan Bono, seorang sutradara film, dan temannya, Wawan, akan membawanya pada petualangan berbahaya yang penuh aksi menegangkan dengan nyawa sebagai taruhannya. Mengubahnya dari gadis biasa menjadi pahlawan harapan Kota Batavia, Valentine.","Science Fiction, Crime, Thriller, Action","pahlawan, superhero, mockbuster",4.8,2017
2017-11-30,Mata Batin,"Ketika adik perempuannya mengaku melihat orang mati, Alia berkonsultasi dengan seorang paranormal, yang membuka matanya sendiri terhadap hantu-hantu pendendam yang menghantui rumah masa kecil mereka.","Horror, Thriller",,5.1,2017
2009-10-08,Rumah Dara,Enam teman ditangkap dan disiksa oleh sebuah keluarga pembunuh setelah mengantar pulang seorang asing yang putus asa.,"Horror, Thriller","kekerasan berdarah, pembunuhan berantai, kanibalisme, wanita hamil",6.4,2009
2021-07-15,A Perfect Fit,"Percikan asmara muncul ketika seorang blogger fesyen di Bali bertemu dengan seorang pembuat sepatu berbakat, yang membuatnya mempertanyakan komitmennya kepada tunangannya.","Romance, Comedy, Drama",,5.5,2021
2017-05-15,Marlina si Pembunuh dalam Empat Babak,"Setelah bertemu dengan sekelompok bandit yang berencana memperkosa dan merampoknya, seorang janda muda berkelana ke hutan belantara untuk mencari keadilan.","Thriller, Drama, Western",,6.9,2017
2018-06-14,Kuntilanak,"Sekelompok anak-anak setuju untuk menjelajahi sebuah rumah terbengkalai untuk memenangkan kontes reality show, yang mengharuskan mereka membuktikan bahwa kisah tentang Kuntilanak yang jahat itu nyata. Mereka segera menemukan bahwa hantu itu benar-benar nyata ketika muncul dari cermin tua dan mulai menghantui mereka.","Horror, Comedy",,4.5,2018
2019-11-07,Ratu Ilmu Hitam,"Keluarga-keluarga diteror di panti asuhan. Seseorang ingin mereka mati, tampaknya dengan ilmu hitam yang sangat mematikan. Dia menyimpan dendam dan dia juga lahir karena dosa-dosa anak yatim yang membentuknya menjadi ratu ilmu hitam.","Horror, Thriller",,6.5,2019
1989-06-10,Pembalasan Ratu Pantai Selatan,"Roh seorang ratu jahat kuno merasuki tubuh seorang mahasiswa antropologi muda, yang kemudian melakukan pembunuhan berantai.","Action, Horror, Fantasy, Science Fiction","legenda, eksploitasi, kerasukan, pembunuhan, penyiksaan",5.5,1989
2020-02-27,Sebelum Iblis Menjemput: Ayat 2,"Dua tahun setelah lolos dari teror iblis, seorang wanita muda masih dihantui oleh penglihatan yang tidak wajar. Bahaya yang menantinya dan teman-temannya semakin mengancam.","Horror, Thriller",,6,2020
2016-10-27,The Doll,"Anya dan Daniel baru saja pindah ke rumah baru mereka di Bandung. Daniel membawa pulang sebuah boneka dari tempat kerjanya. Anya, yang berprofesi sebagai pembuat boneka, menyambut boneka itu dengan gembira di rumah mereka. Kemudian mereka mengetahui bahwa boneka itu milik seorang gadis kecil bernama Uci, yang meninggal ketika ia dan keluarganya dibunuh secara brutal dalam sebuah perampokan. Hal-hal aneh mulai terjadi.....","Thriller, Horror","kerasukan, boneka, hantu",5.1,2016
2018-10-11,Asih,"Bertahun-tahun setelah seorang wanita secara tragis mengakhiri hidupnya sendiri dan menenggelamkan bayinya, sepasang suami istri yang sedang menantikan kelahiran anak mendapati diri mereka diteror oleh hantu yang menyeramkan.","Drama, Horror",,5.2,2018
2009-01-22,Pintu Terlarang,"Gambir adalah seorang seniman yang kesuksesannya menyembunyikan rahasia gelap dan memalukan, yang mungkin tidak ada apa-apanya dibandingkan dengan detail kotor masa lalu yang disembunyikan istrinya di balik pintu misterius di rumah mereka.","Thriller, Mystery, Drama, Horror",thriller psikologis,6.6,2009
2022-08-04,Pengabdi Setan 2: Communion,"Setelah pindah dari rumah mereka ke sebuah gedung apartemen, teror baru menanti keluarga Rini.","Drama, Horror, Mystery","ritual, supranatural, kultus, ketakutan, setan, sihir, kejahatan, Indonesia, mayat membusuk, horor supranatural",6.7,2022
